cell_suspension.biomaterial_core.biomaterial_id,cell_suspension.provenance.document_id,annotated_cell_identity.text,annotated_cell_identity.ontology,annotated_cell_identity.ontology_label
23728_5_316,1035b1cc-7f94-421f-8884-2538892993eb,decidual natural killer cell type 1,CL:0002343,decidual natural killer cell
24087_8_158,de58575f-b4d7-48d5-9c66-5c3a2288fc2e,T cell,CL:0000084,T cell
23728_8_39,75fafd88-c2f7-479b-bb4b-6d2ee6f220fb,T cell,CL:0000084,T cell
24088_7_321,563fc7a0-1470-4440-82dd-59eb6859f51c,decidual stromal cell type 2,CL:2000002,decidual cell
24087_3_305,a8c0dc09-7448-4316-acc5-0bce8c2a3e33,decidual stromal cell type 2,CL:2000002,decidual cell
23728_6_295,3e2f0460-4034-4191-a9a5-4024fc137a12,innate lymphoid cell,CL:0001065,innate lymphoid cell
23728_6_187,6e8f04c1-9418-4fe5-928c-a9d774db30a3,NA,NA,NA
23728_5_181,ec5f0124-f7b9-4bfd-b295-7bbcabb5f0df,T cell,CL:0000084,T cell
24087_6_191,8dea7492-445e-450b-8ec4-218a438bbcbb,decidual natural killer cell type 1,CL:0002343,decidual natural killer cell
24088_8_24,b3b60c1d-02e7-4794-939c-382cd193acfd,Hofbauer cell,CL:3000001,Hofbauer cell
24087_7_253,2bcddd80-12af-4f03-8e05-123528f25050,NA,NA,NA
24087_3_211,2eaafe9c-90e8-400f-a9b6-3eb2eb62bf8f,maternal endothelial cell,CL:0000115,endothelial cell
23728_5_57,15c13a36-d608-48b5-8d9c-3a4dd97ce076,decidual macrophage type 1,CL:0000235,macrophage
24087_4_104,4e482afd-e529-4781-bb65-523d621cf42c,decidual macrophage type 1,CL:0000235,macrophage
24087_6_44,86718efd-fc99-4c59-8ad2-bee8ff654a29,T cell,CL:0000084,T cell
23728_4_238,c2827253-54a9-4915-b6b9-f1e0cc237d0b,NA,NA,NA
23728_4_76,aa12f5f5-5328-448a-9ff3-e1cadcbade5e,decidual macrophage type 1,CL:0000235,macrophage
23728_4_262,cc3220fe-afb3-468b-9c18-7c015c69cb62,proliferating decidual natural killer cell,CL:0002343,decidual natural killer cell
23728_5_98,a4c548ce-9f61-48e2-bdd6-1a1f3d846435,decidual macrophage type 1,CL:0000235,macrophage
24088_8_260,0db4e5c0-870a-4ace-b76a-4cf09dda5b6d,NA,NA,NA
23728_7_310,78d69642-b0a0-47a6-8b21-8ec88ef6c8c2,NA,NA,NA
23728_3_56,15acf922-a961-490f-9225-2338f367fb75,decidual macrophage type 1,CL:0000235,macrophage
24087_2_358,69e9509c-1779-4f0b-a4d7-f9406fc65261,NA,NA,NA
24087_1_16,f91c75c3-045f-4465-aeca-e21bcd336fce,T cell,CL:0000084,T cell
24087_4_92,628e635c-b529-4bf3-8eec-921b86bea0da,T cell,CL:0000084,T cell
