cell_suspension.biomaterial_core.biomaterial_id,inferred_cell_type,cell_suspension.provenance.document_id
D26Dp4E10,nMGE.24.LHX8.GRIA2,56ecd197-5d6a-4972-a759-0d66a2afeb1e
D26Dp4F01,nMGE.24.LHX8.GRIA2,210673c9-5115-4391-be24-1183e4a32544
D26Dp4F02,nMGE.24.LHX8.GRIA2,b7f8f378-a6be-485c-a5fe-43a1c668d66f
D26Dp4F07,nMGE.24.LHX8.GRIA2,ed50efaf-0e70-4866-9c6a-3003b8ce66af
D26Dp4F11,nMGE.24.LHX8.GRIA2,662f7c96-b650-4b22-9dc8-f052f63083d7
D26Dp4G02,nMGE.24.LHX8.GRIA2,06587042-292c-4037-96ea-a658ad07eefc
D26Dp4G06,nMGE.24.LHX8.GRIA2,8cd1c391-2717-4ca1-9594-521241ba9628
D26Dp4G08,nMGE.24.LHX8.GRIA2,3e951e39-ecaf-4fff-89be-0dab6a57f397
D26Dp4G09,nMGE.24.LHX8.GRIA2,f46c8269-4f78-457f-aad1-aa10af1f0547
D26Dp4H03,nMGE.24.LHX8.GRIA2,64c169e5-4a7a-4b08-8179-e5f513b8cb8b
D26Dp14A05,nMGE.24.LHX8.GRIA2,cf782a67-1cd1-4e50-8d7a-38932cd128e9
D26Dp14A07,nMGE.24.LHX8.GRIA2,5e2a9d24-fcab-4aa6-bbee-f531a2bbe699
D26Dp14A09,nMGE.24.LHX8.GRIA2,a8ad37cc-4bfc-472c-9f66-37b706ad8f68
D26Dp14B09,nMGE.24.LHX8.GRIA2,ced1567f-1eee-4902-9d17-73d1ef9867ca
D26Dp14C04,nMGE.24.LHX8.GRIA2,8b021dba-1ca0-489a-8d3b-9182a03ab9e2
D26Dp14C10,nMGE.24.LHX8.GRIA2,12bd208f-6136-4785-895e-2d9e9502fcc8
D26Dp14C11,nMGE.24.LHX8.GRIA2,87fdf071-1b21-4e61-b041-382566073b8f
D26Dp14D01,nMGE.24.LHX8.GRIA2,f0660a89-6241-42a0-a513-5324214b60f4
D26Dp14D09,nMGE.24.LHX8.GRIA2,41a02f26-c4a8-4ce5-bdf3-63bd289a8a92
D26Dp14D10,nMGE.24.LHX8.GRIA2,e1ad3579-4776-4e79-96d4-bb1c9aa059b8
D26Dp14D11,nMGE.24.LHX8.GRIA2,367b4bd9-92ba-4520-8572-7c12b1a272f8
D26Dp14E01,nMGE.24.LHX8.GRIA2,fd484983-67a5-41d0-aca7-357c511fc47d
D26Dp14E11,nMGE.24.LHX8.GRIA2,c7e3a55d-430a-4317-8c33-fdfa928a95db
D26Dp14F04,nMGE.24.LHX8.GRIA2,368c0f13-e887-41bd-828d-bea8a615a43d
D26Dp14G11,nMGE.24.LHX8.GRIA2,9c65f16c-1930-44b2-9bae-3d928d1102f0
