cell_suspension.biomaterial_core.biomaterial_id,inferred_cell_type,organism_part,cell_suspension.provenance.document_id
24088_8_240,decidual natural killer cell (dNK2),decidua,2c1a3518-8d2b-4dee-9f1b-89967873a337
24088_8_256,NA,decidua,2403a579-f271-4d0d-8b5b-de2ade76ff07
23728_4_142,T cell,decidua,722278ed-cdf6-47df-aa98-81acad9d362d
24087_6_34,decidual macrophage (dM2),decidua,50347297-620a-4d66-a67a-d0d7efbbe8bb
24087_6_9,NA,decidua,6c591cd3-699c-4dfe-8b9f-9050cd3ddf69
24087_7_17,T cell,decidua,b53472f0-bb81-4b81-97fd-220ed5652910
24088_7_140,T cell,decidua,95d38b19-d461-4413-980e-9e43435d6a22
24088_7_259,NA,decidua,6e0d0a96-ca6a-4f08-8485-1e582e83cc10
23728_7_139,T cell,decidua,f0ad72a3-7f25-4ade-9fea-aca17aabdb2b
24087_8_157,T cell,decidua,82ffb5fc-7e7d-4000-ac45-cf3d1bb9d2b8
24088_7_305,decidual stromal cell (dS2),decidua,1e63cbe9-2e24-4097-a1c4-f06169077ee4
24087_7_151,decidual macrophage (dM2),decidua,b81e420b-aa60-44bb-bdf8-07bd271fea14
24087_4_75,decidual macrophage (dM1),decidua,4c70c96e-f3b0-4fc7-8dbd-f0bc9e925645
23728_7_340,NA,decidua,152a4e2e-e0e9-4165-815b-947f5bc49c10
23728_7_159,T cell,decidua,a03aa405-b6d5-4b65-8af6-93dbca417fc7
23728_7_262,decidual natural killer cell (dNK1),decidua,09e492c2-9788-4143-a74f-9b1e15280301
23728_4_283,NA,decidua,c75d977e-b96f-466b-bf16-e3e5b00d3666
24088_4_338,decidual stromal cell (dS1),decidua,545b9f3a-c46e-454b-ab11-d9967f5acb43
24087_3_352,NA,decidua,88eb1127-8afe-4215-ab00-67de64a9e2a9
24088_8_306,NA,decidua,94a7927a-49d1-467f-b070-7d198400140a
23728_8_126,decidual macrophage (dM1),decidua,3e038280-376f-4ce7-b30e-b84ada73ece9
23728_8_330,NA,decidua,824e382c-63cd-4069-a352-01758160caab
23728_4_85,NA,decidua,fd7fe04b-e760-4c95-ba7a-2751c72e659f
24087_6_182,NA,decidua,7a40f385-e959-4596-a7b0-53d7dbd3d0cb
24087_5_236,NA,decidua,5cb71737-98b4-4632-8c1d-e047578c6f82
24088_7_215,decidual natural killer cell (dNK2),decidua,b5ad6a1a-d9eb-4e07-8dc4-a1f224ac75e6
23728_5_278,decidual stromal cell (dS1),decidua,3756fd18-25c2-49ed-852c-64c66549d436
23728_6_158,NA,decidua,43b7993b-5ca6-40e8-be6a-ebb40f31ee4b
24087_5_180,T cell,decidua,492a3dcb-691e-4989-87e3-81e29920787e
23728_4_340,NA,decidua,458ad7b0-4ad7-4253-a4fd-c558c1002002
24087_5_67,T cell,decidua,c4809dea-987d-4956-99e9-c4e15c7f1358
23728_5_11,decidual macrophage (dM1),decidua,9f985eea-3d7c-4210-9962-c5fcd7d8dd0e
23728_4_302,NA,decidua,fb10be71-8f94-4cab-b22b-0e6740ec4a5f
24087_4_220,decidual natural killer cell (dNK2),decidua,d9dd7843-a4dd-4dee-bd2f-92318f979a78
24087_5_1,decidual macrophage (dM2),decidua,29e4bb4f-3bbb-4b0e-8b51-670213b13e2e
23728_3_260,NA,decidua,89a823cb-3dbd-4dfd-bf05-84e4b3643a92
23728_4_245,decidual natural killer cell (dNK1),decidua,059f8106-a180-4d97-8662-2b42f12a2ce6
23728_3_199,villous cytotrophoblast (VCT),decidua,0fcd30ac-bbc5-4b5c-9a64-f1250d8923ea
23728_7_46,NA,decidua,d738f73a-70ef-4480-a2f8-a926c6780eae
24087_2_92,T cell,decidua,097f1402-f9b8-4ddb-8e2b-78323628adb4
24087_1_379,maternal endothelial cell (Endo m),decidua,2fab9cf2-230a-4bff-b81c-5d6c85627909
24087_4_363,conventional dendritic cell (DC1),decidua,b5ae2a3a-96a0-441c-9461-2b26283b6efb
23728_6_65,T cell,decidua,199b36af-e7e9-474d-8232-96574203634c
24087_1_269,decidual natural killer cell (dNK2),decidua,35c2283f-a277-446c-bef4-358e9f58a348
24087_6_84,T cell,decidua,1d4ba0de-138a-42fa-8bca-eaa415937253
24087_3_308,decidual stromal cell (dS1),decidua,8a368945-6ecb-4d95-bfed-51c557d8aa9c
24087_8_250,NA,decidua,d5a0780a-db17-4a5f-a0c6-4c754464ba77
24087_5_272,NA,decidua,a40a87c2-e271-43a2-b915-c63425bf782d
23728_8_42,T cell,decidua,c491700a-3ae8-4516-8dab-6ed3a89bfa73
23728_5_310,NA,decidua,c2383d9a-1b21-4b0e-9995-00ddeb582fc1
24087_7_168,decidual macrophage (dM2),decidua,041cbfe3-2801-4d74-8351-e2a9b7b4b442
24087_6_99,decidual macrophage (dM2),decidua,7435daf1-136b-4e37-b96d-bc045e0cc506
24087_3_361,T cell,decidua,9ab2f6e1-31db-4b03-a8b1-b94ad43b6245
23728_7_313,NA,decidua,e87cf60b-dc24-4df9-962f-803a196df3e9
23728_6_308,NA,decidua,2b5db25b-e0ed-4a92-9281-09a76259b9ee
24087_6_134,NA,decidua,5e171589-04de-4ffe-a4ad-0f0fbe3cd6ec
24087_6_295,T cell,decidua,6308114b-a29f-47f4-b2bc-3235f5b7df55
24087_1_123,decidual macrophage (dM1),decidua,ba087c8a-7e17-44e5-a1bc-116a5c094e22
24087_6_260,NA,decidua,40d19039-6624-478e-abf7-7e730fef36ee
23728_5_362,decidual natural killer cell (dNK3),decidua,2b961723-6b82-4d8c-9bd0-5e44d8af3adf
23728_4_141,T cell,decidua,4049e700-8ca8-4742-88db-a3080e23d9c0
24087_5_208,NA,decidua,4d12e5b9-dfd2-458e-a9b4-ab35fa2552d9
23728_8_153,decidual macrophage (dM2),decidua,1a6a65e3-c659-4b38-bc75-ff025e6f85c0
24088_8_170,NA,decidua,1824492f-bf9e-4afd-bde0-599101029118
23728_6_68,T cell,decidua,1f2f8f4f-debc-4ff7-88bf-d8220bc2e05a
23728_6_149,decidual macrophage (dM2),decidua,e948f9a4-d939-4a9d-b0e3-241f7dda1f50
24087_6_190,NA,decidua,ec75dbf6-51ff-439d-bf28-39a03b058d29
