cell_suspension.biomaterial_core.biomaterial_id,cell_suspension.provenance.document_id,annotated_cell_identity.text,annotated_cell_identity.ontology,annotated_cell_identity.ontology_label
24088_3_162,43ea9ec8-05b8-44bc-a2d0-15379144a7e8,monocyte,CL:0000576,monocyte
24088_3_134,9cb073f8-18b5-4147-99d3-eb413d7615fc,monocyte,CL:0000576,monocyte
24088_3_45,48d2c876-d071-43ef-9414-0ce537652722,monocyte,CL:0000576,monocyte
24088_3_252,d6079334-8013-4fab-b6a9-8dfe40cb0484,T cell,CL:0000084,T cell
24088_6_323,5c5caabd-bfb8-4967-a9ae-9060170113a5,monocyte,CL:0000576,monocyte
24088_3_66,cfd3ad72-14d7-4d3c-b345-6f9ca9fa84bc,monocyte,CL:0000576,monocyte
24088_5_305,6d569918-5710-4b39-ad2e-791f397870fd,T cell,CL:0000084,T cell
24088_3_154,26b93469-f36a-42f1-a2c1-fbb2a5fe3e88,T cell,CL:0000084,T cell
24088_6_380,d8bf225f-dded-4ddb-a2c0-fc768efd1008,plasmacytoid dendritic cell,CL:0000784,plasmacytoid dendritic cell
24088_5_343,e9d21d95-c05f-4a8f-a530-0943142dbb51,plasmacytoid dendritic cell,CL:0000784,plasmacytoid dendritic cell
24088_3_33,1bd0c057-7ecd-459a-808e-c48751fcd6bd,T cell,CL:0000084,T cell
24088_6_25,ad2388b2-266d-443a-a4db-e517d6417be7,T cell,CL:0000084,T cell
24088_5_345,9730306c-2f87-4c31-b4df-56ec9f3a25ab,T cell,CL:0000084,T cell
24088_4_31,0f0f95db-3d5f-476b-9180-44e787fc5315,T cell,CL:0000084,T cell
24088_6_222,d4ade373-e7a7-4fe5-bea7-8b62d32a3d44,T cell,CL:0000084,T cell
24088_5_70,da135808-c9b0-4174-a235-634de1c1dde1,CD16+ natural killer cell,CL:0000939,"CD16-positive, CD56-dim natural killer cell"
24088_5_364,f4fdb659-97b2-47e8-a7e9-8356d205d122,monocyte,CL:0000576,monocyte
24088_3_187,71af3403-744b-45df-8e1d-00442cffd939,plasma cell,CL:0000786,plasma cell
24088_5_86,f4e4b6b9-fe82-4e03-aca7-fe565d322649,CD16+ natural killer cell,CL:0000939,"CD16-positive, CD56-dim natural killer cell"
24088_4_58,78a76182-695a-47a1-aaca-8dead8bc3093,CD16+ natural killer cell,CL:0000939,"CD16-positive, CD56-dim natural killer cell"
24088_6_245,204ca363-1a77-4cde-9e17-35eff2fdd77a,T cell,CL:0000084,T cell
24088_3_286,4f0d0e98-189e-4e9e-9624-29fb15919ef5,NA,NA,NA
24088_4_148,9a91eb45-aef5-4fc7-be5b-4daaff972b4a,T cell,CL:0000084,T cell
24088_6_96,a38b25bf-4ec5-4919-b01c-2f422e2e20cc,NA,NA,NA
24088_4_60,371e9d9f-d84c-436e-aab9-e9861d227cab,T cell,CL:0000084,T cell
24088_6_176,e26807f0-da22-4d52-b62d-dee0176c89dc,CD16+ natural killer cell,CL:0000939,"CD16-positive, CD56-dim natural killer cell"
24088_4_116,589cfc2a-a7af-4f7c-94aa-8bc95bb6a2d1,T cell,CL:0000084,T cell
24088_6_208,4525aa61-a826-4903-8de3-a943c1476c0f,monocyte,CL:0000576,monocyte
24088_3_331,27fafcd3-04cc-4b7c-9bf4-3534e7aa0a4b,T cell,CL:0000084,T cell
24088_6_158,0c8fbacd-bcfc-4348-9876-94bac4c3c900,T cell,CL:0000084,T cell
24088_6_281,b56bf63a-6b44-464d-92b4-ac968e975bfc,monocyte,CL:0000576,monocyte
24088_5_277,b7520e01-3782-4f63-ab3a-03557aec1b28,T cell,CL:0000084,T cell
24088_6_88,974b0033-f27a-4bd1-ab59-0e581f089dac,monocyte,CL:0000576,monocyte
24088_6_237,5ed8db44-a5c9-4e8d-ab02-903ea6f5bb16,T cell,CL:0000084,T cell
24088_3_194,e8f0017b-a3fe-42fa-bc81-10a73b6bb966,T cell,CL:0000084,T cell
24088_4_102,1a40e506-0f00-4dd9-a7a5-ab169dbabda4,monocyte,CL:0000576,monocyte
24088_3_42,1f6c9806-04b2-496a-a9ee-09977a430d53,monocyte,CL:0000576,monocyte
