cell_suspension.biomaterial_core.biomaterial_id,inferred_cell_type,organism_part,cell_suspension.provenance.document_id
24088_5_234,T cell,blood,a2962581-f0a3-4262-9246-c2568a0c1e8d
24088_5_208,T cell,blood,00cbfc9d-4b92-47c0-8cdf-4a8979a5675b
24088_3_215,CD16-positive natural killer cell (NK CD16+),blood,2fa28ac0-0e80-436f-af58-078a9dc6b696
24088_6_157,villous cytotrophoblast (VCT),blood,eb6d157e-1818-46ec-845f-c3a9cf977814
24088_5_244,monocyte,blood,f25738dd-d17c-4a0b-8f9b-7d94bf815a74
24088_5_106,T cell,blood,22acfe52-3667-4b2e-b16f-a0d4408440ab
24088_6_342,T cell,blood,44d0679b-6a81-40a0-9796-bae5567e9c3c
24088_6_333,CD16-positive natural killer cell (NK CD16+),blood,642ec322-e186-4a00-a49e-271362c37410
24088_5_81,T cell,blood,5f3e297e-91d6-496f-9e3b-9604bd9e3d3f
24088_5_44,T cell,blood,e3849c2d-5b87-4b82-bca8-c4049db9d393
24088_6_278,monocyte,blood,d24828f0-8da3-4005-9d04-491028f9444a
24088_5_18,CD16-positive natural killer cell (NK CD16+),blood,af0be933-513f-46eb-b824-d5f1285fdef1
24088_6_277,monocyte,blood,cf0a2662-0987-4e9c-a3fb-438c52acbb45
24088_3_309,T cell,blood,d9368ad9-0dfb-4f82-af42-5b0279a2318e
24088_6_122,T cell,blood,b4031dfb-bf34-4b36-90ef-dde7769893d8
24088_6_365,T cell,blood,96116516-f039-48e6-962f-dd7991cb9fe8
24088_4_190,T cell,blood,f00cd8cd-6c75-4b84-80da-ed9e3806f382
24088_3_318,CD16-negative natural killer cell (NK CD16-),blood,ff3e42f3-3e74-4d5a-b0aa-8799ae206818
24088_6_165,monocyte,blood,4d7e594e-fe0f-4201-948a-0447a65b0015
24088_5_30,T cell,blood,037e6224-4adb-4a63-85e6-ee66b0a41489
24088_6_374,plasma cell,blood,9e12e758-7934-49f7-ba4c-6d460d159e4d
24088_6_19,plasmacytoid dendritic cell (DC2),blood,646a41dc-377c-4154-af9b-c682a7c54499
24088_3_163,monocyte,blood,f420fdcb-2daf-444a-85df-9172bd6d0a38
24088_5_135,CD16-positive natural killer cell (NK CD16+),blood,4816bfc3-0106-45fb-9eb7-ec6c3eb640a1
24088_5_205,T cell,blood,197b53d0-f5bc-466f-8b6f-3d0ac5b4b85c
24088_4_13,T cell,blood,0145bb42-b62a-4613-a538-2e5e298616f9
24088_5_173,plasma cell,blood,999acf95-1fd3-41f8-b7b6-ead43dd0e9c6
24088_6_239,T cell,blood,8aae58f8-f05f-4a65-88bc-b8bbb6e32371
24088_5_149,NA,blood,57ac739b-063f-42c8-9c2a-53c9af99cb96
24088_5_262,monocyte,blood,8911d571-8a7e-4e68-bd50-42e68f23e9b0
24088_6_58,T cell,blood,93106a0f-a70a-4d91-8227-92318dbebf44
24088_6_346,T cell,blood,ae3c5c92-cfe8-4f1e-bce6-d6cb450e21f0
24088_5_342,monocyte,blood,495d0292-c7ac-4919-98ad-21ed43f0ec75
24088_4_65,T cell,blood,a3314d28-7301-46dc-abd8-5ec63b0fa32d
24088_5_177,T cell,blood,9910006e-3844-4213-bf0b-f1be266d43a5
24088_6_310,T cell,blood,c0a75294-95e8-4e73-8731-7ee93e7189d1
24088_3_167,T cell,blood,b3281014-cdb5-484b-84c0-a6b66be42b74
24088_5_85,T cell,blood,cfa29c5f-a2ea-4a70-873a-4bbb0f303972
24088_6_149,T cell,blood,32648d81-96b1-4446-883b-4da49b24deb2
24088_5_258,T cell,blood,89aa557a-46d6-4b43-a594-ca6e4957da0a
24088_5_346,CD16-positive natural killer cell (NK CD16+),blood,c67fa476-c376-4dc8-8c9f-a11fa8158649
24088_3_288,NA,blood,023be319-dd5e-4252-b29d-416e5ae5e83a
24088_3_169,T cell,blood,86ce6875-9165-467c-898a-bff5072a8dee
24088_5_13,CD16-positive natural killer cell (NK CD16+),blood,566dbf6e-c651-4442-ba1d-fed2500b2be5
24088_4_107,T cell,blood,21f520be-9764-4617-9b0a-ce991e6a587a
24088_5_75,T cell,blood,18f67794-8ab9-4172-8b2c-4f738574ec24
24088_6_284,monocyte,blood,2b69e22c-4db4-4bf5-b26e-a20c886bca71
24088_6_46,monocyte,blood,2ebb0590-b1d9-434a-88af-f3fc181e210b
24088_5_324,T cell,blood,e6ae1f90-6c0b-43ad-ab2f-0c6861d2300a
24088_3_67,monocyte,blood,d76f9fb8-2d6c-4105-a663-d370fdb15286
24088_3_69,monocyte,blood,3ee3fe28-d1f1-4f35-b044-98ea439d1515
24088_6_334,CD16-positive natural killer cell (NK CD16+),blood,c8a126a6-529a-4793-9466-12a0ae8fd18d
24088_3_37,monocyte,blood,692aab65-d25d-460c-9d53-efa67de096a5
24088_5_363,monocyte,blood,ba18d8ba-e24b-4507-954e-3b06bb9be0f0
24088_5_240,monocyte,blood,766718d5-37d7-4601-abd5-5f73422cb606
24088_3_157,plasmacytoid dendritic cell (DC2),blood,018460db-cd69-4c1e-a511-0cc9ef3b2265
24088_4_93,T cell,blood,4e4ca4e3-701f-4a59-aaec-bf8f0156c319
24088_5_65,CD16-positive natural killer cell (NK CD16+),blood,5422a85e-8d8d-4358-8086-0c8f1c13426d
24088_6_67,monocyte,blood,c062a6a1-2b9b-4ec9-b22d-6355a23dcc64
24088_3_221,CD16-positive natural killer cell (NK CD16+),blood,efbafab0-ec96-4c4b-9534-ecfbec5ca06e
24088_6_299,monocyte,blood,812cd56f-1039-41ab-b12e-fc2887aef8dd
24088_5_227,T cell,blood,5bb0a926-b9b8-4f9a-8ac1-d3aa848ac1ef
24088_5_116,NA,blood,acd37d08-326a-49db-9868-0e30d05f3400
24088_4_18,T cell,blood,9231cb37-5362-4144-b806-eddf9519ec73
24088_6_231,plasmacytoid dendritic cell (DC2),blood,606cc5dc-289c-40d8-a5b8-3aff75ae6a6a
24088_3_11,T cell,blood,d877c5c4-b216-4cd3-98c4-06b680877d78
24088_5_136,T cell,blood,963cd896-b637-469f-9c62-0119004a4e94
24088_5_43,T cell,blood,28456868-6cc1-43f8-a932-dddfca3da883
24088_6_303,monocyte,blood,1826462e-0c16-4af1-b216-36b8f0c4b522
24088_3_81,T cell,blood,c0be26d4-e9c2-4149-952b-f79eb0342564
24088_5_356,CD16-positive natural killer cell (NK CD16+),blood,09d0f0dd-1403-4cbd-b42e-4aa0b83eacab
24088_6_373,monocyte,blood,dd2be0a9-a72a-4bab-92e2-14ae280a69d0
24088_4_184,CD16-positive natural killer cell (NK CD16+),blood,e4a71ebe-0ab8-48d9-98ed-c852d2abc371
24088_5_196,NA,blood,dbcc8096-85aa-4078-9aee-df1a47fe04f1
24088_3_57,T cell,blood,111cdd29-c508-4343-b23b-afd549b272a6
24088_6_48,CD16-positive natural killer cell (NK CD16+),blood,95b3b878-fbca-45d4-b07a-c0654baed831
24088_6_272,T cell,blood,3aa254ef-fc43-48b5-80e4-2842007baa09
24088_4_7,T cell,blood,6ba35638-c1d9-4354-982e-6004714b68de
24088_3_124,T cell,blood,3fad1540-97fd-493a-bff2-e06a3dd1465a
24088_3_303,T cell,blood,7b17b9f2-a7d3-43bd-99b9-52d0dd6704fa
24088_6_238,T cell,blood,6261a55c-a3f9-4231-a7c4-633209f36243
24088_3_214,CD16-positive natural killer cell (NK CD16+),blood,7613073a-8607-4f54-bce0-1e88704fbccd
24088_6_22,NA,blood,2f84dba1-1799-4fec-b542-6f8fd0377f0a
24088_3_327,T cell,blood,5d2c6824-f1d8-4138-8313-45af7b40f26c
24088_3_184,plasma cell,blood,e4b61478-8985-45e7-8d71-241d19a24b24
24088_6_101,T cell,blood,df553cbf-05ba-49d1-89af-0def6cfd593b
24088_3_87,monocyte,blood,e6b830c5-4277-494e-91b7-90b2703456a5
24088_4_22,T cell,blood,da841f8b-72d5-4c68-86c9-ca46f7762bea
24088_5_95,T cell,blood,8ccdcde4-9749-4029-aed1-27b9c610c41a
24088_6_376,plasmacytoid dendritic cell (DC2),blood,72e9db98-867b-425e-b32b-a912fc977549
24088_6_259,monocyte,blood,9762c59f-7c48-465a-a37f-e887cdc1299b
24088_6_234,monocyte,blood,e7edc710-d89f-4dcc-8153-b3cf07826982
24088_4_35,T cell,blood,63281ef1-dc73-4801-b751-35e1b080936a
24088_5_48,T cell,blood,5c4a10b5-ef33-4f2f-af58-a277184baaf5
24088_5_107,T cell,blood,167607ce-2d1a-4d47-b2a8-b3a9c8293817
24088_3_339,T cell,blood,98fbaf87-a4c6-4711-9d4a-ec1f4b712101
24088_3_156,plasmacytoid dendritic cell (DC2),blood,c3f151df-2228-493c-95af-add6ec4380dd
24088_4_179,T cell,blood,c67343c9-3c2d-4c1c-895b-41a6a485cd3e
24088_6_21,monocyte,blood,76cee8bc-c93c-4520-b092-f2191856299f
24088_6_91,monocyte,blood,97720586-3026-4aa8-8a91-86030dedb14e
24088_6_128,T cell,blood,ce9b2318-c706-4376-a059-fc044c4c4648
24088_5_39,T cell,blood,8475aabf-b106-45ac-bf1d-80fb51a423c0
24088_4_44,T cell,blood,f7fda8a2-effa-4e37-9811-89024ed57522
24088_4_15,T cell,blood,1c2eca2b-1414-4edb-a3cf-edef0d5dfd28
24088_5_220,monocyte,blood,df77d942-7c73-4445-a18f-e442835c7f82
24088_6_325,monocyte,blood,74f0a814-62d9-41a6-901f-dda0f6c4545a
24088_5_2,T cell,blood,e513ef9b-ab17-4c6a-9141-d23e53107e97
24088_4_9,CD16-positive natural killer cell (NK CD16+),blood,47604c22-4e8a-42e9-8322-03f920b9a4e4
24088_6_253,monocyte,blood,ed46640d-dcce-4f2a-8afa-a8303134db07
24088_5_15,T cell,blood,d1e49810-f3cf-4779-97df-9c0a2c2a44a8
24088_3_191,CD16-positive natural killer cell (NK CD16+),blood,3166ada9-07cc-47b7-a6c4-64a5782df111
24088_3_74,T cell,blood,b2519ae6-597a-409b-9ed8-c2eaa193a2e3
24088_3_88,monocyte,blood,1073dfee-3aeb-4e85-adca-b50e5334e6dc
24088_5_232,T cell,blood,ec824840-f6c4-4675-b9d4-3ecdc31ee5ba
24088_6_77,T cell,blood,2dc1172e-e6b1-4da7-bb8c-63aec43f9c37
24088_3_52,T cell,blood,06f654d5-67c6-4182-a9bf-3dcaa46e4ef3
24088_6_362,T cell,blood,3b3d8a87-14f0-414f-b333-13d908c91725
24088_3_180,plasmacytoid dendritic cell (DC2),blood,b883d042-0cee-4bbc-96ce-4f6673f55bfb
24088_5_378,T cell,blood,96f55c83-8652-4524-9f51-d7e7223eeab8
24088_4_133,T cell,blood,5a5a5a7c-a7ad-4b94-9f72-28e9251cad3d
24088_5_322,NA,blood,93a8a8aa-815a-4b7e-9f83-645c11e265eb
24088_4_162,T cell,blood,a844b8b3-ede2-4bf7-b82b-cbf8ee7803c5
24088_6_62,monocyte,blood,0f32be8c-93f3-4af1-86f7-dbea4ec8657b
24088_4_135,T cell,blood,63eea798-6228-44d6-8865-bc9403d9dbb6
24088_3_164,monocyte,blood,a8f20b5d-4f56-4785-a5db-4485eee659ba
24088_6_108,monocyte,blood,c856396a-b15f-4676-b783-37ab16afe681
24088_3_128,T cell,blood,a4f4dad9-60fd-4cad-ab28-834d7d758b31
24088_6_306,monocyte,blood,43cd9d4d-1a40-4586-9503-cf4d76962517
24088_6_293,T cell,blood,c8f7c55f-e749-4c98-93d6-c645b714f540
24088_6_42,monocyte,blood,21aebde0-108a-415e-8ec8-8da906424306
24088_4_186,T cell,blood,99f7f8e6-c8d6-4fb0-8409-8787a0b083ae
24088_5_190,T cell,blood,7f01cd83-bdcd-4d3c-a30b-704f5415fb81
24088_5_137,T cell,blood,1cd8cc4a-c9c0-406b-82d0-8487a03f8460
